Feature,Area (um^2),Roundness,CentroidX (um),CentroidY (um),First Moment of Area (um^3),Eccentricity,Equivalent Diameter (um),Nearest Neighbor Distance (um),Average Neighbor Distance (um),,,avg,st dev
2702,47.200683,1.020243,10172.94621,2480.279134,122.021204,0.305882,7.752276,93.901549,227.034664,,,,
3753,35.821947,1.020112,14282.06692,2686.008981,80.620771,0.306379,6.753512,147.287286,226.777104,,,,
3313,28.236123,1.019966,12401.07238,1249.894353,56.547687,0.233035,5.995944,133.825076,217.956077,,,,
3341,105.358668,1.019916,12551.04098,4409.643438,406.755133,0.150465,11.582177,153.773772,279.504772,,,,
350,22.336038,1.018911,1975.601724,5593.114404,39.715039,0.194918,5.332835,26.694183,221.171759,,,,
400,22.336038,1.018911,2154.420192,4502.479755,39.672865,0.318379,5.332835,18.198675,198.589253,,,,
1136,22.336038,1.018911,4758.77112,6200.673392,39.624058,0.277582,5.332835,104.217178,177.875589,,,,
1354,22.336038,1.018911,5499.4855,1834.509188,39.755097,0.303572,5.332835,36.902383,142.750142,,,,
1528,22.336038,1.018911,6160.852935,7600.305472,39.741806,0.374219,5.332835,124.6165,222.656195,,,,
1823,22.336038,1.018911,7113.983911,2102.485792,39.697814,0.425543,5.332835,217.457924,342.595707,,,,
1846,22.336038,1.018911,7191.493553,4330.9615,39.716951,0.318322,5.332835,165.887787,322.840885,,,,
2033,22.336038,1.018911,7826.808048,1375.3307,39.624058,0.277582,5.332835,96.165618,128.958102,,,,
2147,22.336038,1.018911,8246.949995,1105.345312,39.672865,0.318379,5.332835,22.728605,74.033147,,,,
2402,22.336038,1.018911,9251.905132,4803.662529,39.697814,0.425543,5.332835,132.070707,253.418091,,,,
2406,22.336038,1.018911,9278.313285,3524.606448,39.672865,0.318379,5.332835,56.979119,153.842183,,,,
2463,22.336038,1.018911,9481.837339,2396.625576,39.771354,0.329941,5.332835,214.874059,269.628934,,,,
3191,22.336038,1.018911,11913.33491,5695.697092,39.672865,0.318379,5.332835,100.095997,176.37912,,,,
3213,33.293339,1.018316,12015.95201,3347.344647,72.255475,0.335726,6.510791,56.861883,82.543977,,,,
1799,38.77199,1.018145,7004.122977,5066.878125,90.855335,0.320053,7.026096,86.904498,190.179257,,,,
3367,38.77199,1.018145,12682.53572,5181.62069,90.82309,0.175934,7.026096,66.869029,113.16386,,,,
158,27.393254,1.017107,1340.706511,4947.44073,53.941753,0.371036,5.905775,45.191171,125.343471,,,,
187,27.393254,1.017107,1449.638915,6099.635356,53.859097,0.330491,5.905775,55.041807,112.624139,,,,
2046,27.393254,1.017107,7858.273963,2825.161448,53.912329,0.425573,5.905775,51.589047,235.989962,,,,
2192,27.393254,1.017107,8401.787434,5504.527056,53.931039,0.413892,5.905775,154.970651,279.367927,,,,
2923,54.786507,1.017107,10831.44346,6282.619223,152.716051,0.254823,8.352027,89.568493,171.880662,,,,
3678,27.393254,1.017107,13959.92677,5786.79052,53.862585,0.299274,5.905775,100.463775,249.067814,,,,
332,40.036294,1.016773,1915.176669,6727.377172,95.297982,0.103477,7.139733,95.887845,234.691303,,,,
342,40.036294,1.016773,1957.393869,5374.328882,95.324046,0.356101,7.139733,111.189852,180.306881,,,,
760,29.078992,1.016647,3512.938782,2181.320067,59.010475,0.30908,6.084778,61.258908,277.660567,,,,
2758,29.078992,1.016647,10301.38582,6496.767638,59.065369,0.379202,6.084778,58.500948,82.753311,,,,
3641,29.078992,1.016647,13818.56779,3403.8295,59.053697,0.242795,6.084778,98.264507,175.191515,,,,
558,36.243382,1.016369,2667.10319,1603.09717,81.999335,0.273423,6.793122,110.227023,251.558756,,,,
1386,36.243382,1.016369,5656.516701,1212.23797,82.103616,0.2655,6.793122,155.589091,229.290873,,,,
955,30.764731,1.016238,4209.9323,5702.717264,64.363356,0.438799,6.258664,58.525552,128.71033,,,,
1085,30.764731,1.016238,4612.521722,1648.703771,64.221907,0.41821,6.258664,69.576013,203.969129,,,,
1139,30.764731,1.016238,4769.160852,4155.365608,64.59918,0.457784,6.258664,186.974677,236.11449,,,,
3219,30.764731,1.016238,12032.18669,6686.465071,64.204005,0.386286,6.258664,75.04095,149.538149,,,,
727,56.050811,1.016153,3365.915322,6324.394538,157.781838,0.298625,8.447846,93.856692,189.320601,,,,
841,25.28608,1.016049,3827.868231,1064.806675,47.918868,0.300037,5.674085,101.638568,284.149235,,,,
1656,25.28608,1.016049,6575.122253,7174.813098,47.917456,0.418343,5.674085,83.393676,150.360528,,,,
2203,25.28608,1.016049,8428.899022,4922.331612,47.886247,0.452379,5.674085,110.275524,213.183976,,,,
2519,63.215201,1.016049,9658.461089,1414.714695,189.155607,0.182283,8.971516,27.87468,128.350697,,,,
2606,63.215201,1.016049,9873.400259,3593.665726,189.145411,0.216909,8.971516,164.967832,208.455479,,,,
2635,25.28608,1.016049,9962.30546,3259.154092,47.847604,0.416488,5.674085,43.164221,259.656373,,,,
